Date,Open,High,Low,Close,Volume
1/3/2017,28.950001,29.0825,28.690001,29.0375,115127600
1/4/2017,28.9625,29.127501,28.9375,29.004999,84472400
1/5/2017,28.98,29.215,28.952499,29.1525,88774400
1/6/2017,29.195,29.540001,29.1175,29.477501,127007600
1/9/2017,29.487499,29.8575,29.485001,29.747499,134247600
1/10/2017,29.692499,29.844999,29.575001,29.7775,97848400
1/11/2017,29.684999,29.9825,29.65,29.9375,110354400
1/12/2017,29.725,29.825001,29.5525,29.8125,108344800
1/13/2017,29.7775,29.905001,29.702499,29.76,104447600
1/17/2017,29.584999,30.059999,29.555,30,137759200
1/18/2017,30,30.125,29.9275,29.997499,94852000
1/19/2017,29.85,30.022499,29.842501,29.945,102389200
1/20/2017,30.112499,30.112499,29.932501,30,130391600
1/23/2017,30,30.202499,29.942499,30.02,88200800
1/24/2017,29.887501,30.025,29.875,29.9925,92844000
1/25/2017,30.105,30.525,30.07,30.469999,129510400
1/26/2017,30.4175,30.610001,30.4,30.485001,105350400
1/27/2017,30.535,30.5875,30.4,30.487499,82251600
1/30/2017,30.2325,30.407499,30.165001,30.407499,121510000
1/31/2017,30.2875,30.3475,30.155001,30.3375,196804000
2/1/2017,31.7575,32.622501,31.752501,32.1875,447940000
2/2/2017,31.995001,32.3475,31.945,32.1325,134841600
2/3/2017,32.077499,32.297501,32.040001,32.27,98029200
2/6/2017,32.282501,32.625,32.224998,32.572498,107383600
2/7/2017,32.634998,33.022499,32.612499,32.8825,152735200
2/8/2017,32.837502,33.055,32.805,33.009998,92016400
2/9/2017,32.912498,33.112499,32.779999,33.105,113399600
2/10/2017,33.115002,33.235001,33.012501,33.029999,80262000
2/13/2017,33.27,33.455002,33.1875,33.322498,92141600
2/14/2017,33.3675,33.772499,33.3125,33.755001,132904800
2/15/2017,33.880001,34.067501,33.654999,33.877499,142492400
2/16/2017,33.9175,33.974998,33.709999,33.837502,90338400
2/17/2017,33.775002,33.9575,33.775002,33.93,88792800
2/21/2017,34.057499,34.1875,33.994999,34.174999,98028800
2/22/2017,34.107498,34.279999,34.0275,34.2775,83347600
2/23/2017,34.345001,34.369999,34.075001,34.1325,83152800
2/24/2017,33.977501,34.165001,33.82,34.165001,87106400
2/27/2017,34.285,34.360001,34.07,34.232498,81029600
2/28/2017,34.27,34.360001,34.174999,34.247501,93931600
3/1/2017,34.4725,35.037498,34.400002,34.947498,145658400
3/2/2017,35,35.07,34.689999,34.740002,104844000
3/3/2017,34.695,34.9575,34.647499,34.945,84432400
3/6/2017,34.842499,34.942501,34.650002,34.834999,87000000
3/7/2017,34.764999,34.994999,34.697498,34.880001,69785200
3/8/2017,34.737499,34.950001,34.705002,34.75,74828800
3/9/2017,34.685001,34.697498,34.262501,34.669998,88623600
3/10/2017,34.8125,34.84,34.66,34.785,78451200
3/13/2017,34.712502,34.857498,34.705002,34.799999,69686800
3/14/2017,34.825001,34.912498,34.709999,34.747501,61236400
3/15/2017,34.852501,35.1875,34.7575,35.115002,102767200
3/16/2017,35.18,35.255001,35.064999,35.172501,76928000
3/17/2017,35.25,35.25,34.9725,34.997501,175540000
3/20/2017,35.099998,35.375,35.057499,35.365002,86168000
3/21/2017,35.5275,35.700001,34.932499,34.959999,158119600
3/22/2017,34.962502,35.400002,34.939999,35.355,103440800
3/23/2017,35.314999,35.395,35.1525,35.23,81385200
3/24/2017,35.375,35.435001,35.087502,35.16,89582400
3/27/2017,34.8475,35.305,34.654999,35.220001,94300400
3/28/2017,35.227501,36.009998,35.154999,35.950001,133499200
3/29/2017,35.919998,36.122501,35.797501,36.029999,116760000
3/30/2017,36.047501,36.125,35.875,35.982498,84829200
3/31/2017,35.93,36.067501,35.752499,35.915001,78646800
4/3/2017,35.927502,36.029999,35.762501,35.924999,79942800
4/4/2017,35.8125,36.2225,35.7925,36.192501,79565600
4/5/2017,36.055,36.365002,35.952499,36.005001,110871600
4/6/2017,36.072498,36.130001,35.862499,35.915001,84596000
